m,n,upper_size,E_mn,gap_from_upper,raw_maximizers,total_checked,checked_by_size,certified
2,2,2,2,0,2,6,2:6,true
2,3,3,3,0,10,20,3:20,true
2,4,4,4,0,6,70,4:70,true
2,5,4,4,0,48,210,4:210,true
2,6,5,5,0,56,792,5:792,true
2,7,6,6,0,20,3003,6:3003,true
2,8,6,6,0,320,8008,6:8008,true
2,9,7,7,0,216,31824,7:31824,true
2,10,8,8,0,56,125970,8:125970,true
2,11,8,8,0,1488,319770,8:319770,true
2,12,9,9,0,704,1307504,9:1307504,true
3,3,4,4,0,9,126,4:126,true
3,4,5,4,1,132,1287,5:792;4:495,true
3,5,5,5,0,228,3003,5:3003,true
3,6,6,6,0,98,18564,6:18564,true
3,7,7,6,1,2744,170544,7:116280;6:54264,true
3,8,8,7,1,2624,1081575,8:735471;7:346104,true
3,9,9,8,1,831,6906900,9:4686825;8:2220075,true
4,4,6,5,1,360,12376,6:8008;5:4368,true
4,5,7,6,1,280,116280,7:77520;6:38760,true
4,6,8,7,1,40,1081575,8:735471;7:346104,true
4,7,9,8,1,2,10015005,9:6906900;8:3108105,true
